ISBN,avg_rating,rating_count,Book-Title,Book-Author,Year-Of-Publication,popularity_score
006019393X,8.5,4,If the Gods Had Meant Us to Vote They Would Have Given Us Candidates,Jim Hightower,2000.0,34.0
006019491X,8.428571428571429,14,Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),Isabel Allende,1999.0,118.0
006019541X,7.2,5,Blue Angel,Francine Prose,2000.0,36.0
006020186X,7.0,1,Amelia Bedelia (I Can Read),Peggy Parish,1992.0,7.0
006028644X,8.0,1,Wasteland,Francesca Lia Block,2003.0,8.0
006039241X,5.0,1,Zone Perfect Meals in Minutes: 150 Fast and Simple Healthy Recipes from the Bestselling Authorof the Zone and Mastering the Zone,Barry Sears,1997.0,5.0
006039384X,8.4,5,Mirror Mirror: A Novel,Gregory Maguire,2003.0,42.0
006050675X,10.0,1,"The Emerald Cavern (Graham, Mitchell. Fifth Ring, Bk. 2.)",Mitchell Graham,2003.0,10.0
006050918X,6.333333333333333,6,City of the Beasts,Isabel Allende,2002.0,38.0
006051261X,7.666666666666667,3,why I'm like this : True Stories,Cynthia Kaplan,2003.0,23.0
006051406X,5.0,2,Molly Moon's Incredible Book of Hypnotism (Molly Moon Books (Hardcvoer)),Georgia Byng,2003.0,10.0
006052510X,8.0,1,Happiness : A Novel,Will Ferguson,2003.0,8.0
006053429X,7.666666666666667,3,Couldn't Keep It to Myself : Testimonies from Our Imprisoned Sisters,Wally Lamb,2003.0,23.0
006053821X,7.0,1,The Companions : A Novel,Sheri S. Tepper,2003.0,7.0
006055584X,5.0,1,Mission Compromised,Oliver L. North,2003.0,5.0
006056198X,8.0,1,Bleachy-Haired Honky Bitch : Tales from a Bad Neighborhood,Hollis Gillespie,2004.0,8.0
006056668X,7.0,1,"Fluke : Or, I Know Why the Winged Whale Sings",Christopher Moore,2004.0,7.0
006064205X,5.0,1,The Awakened One,Bhagwan S. Rajneesh,1982.0,5.0
006073941X,10.0,1,Bridge to Terabithia,Katherine Paterson,2004.0,10.0
006080985X,6.0,2,Island,Aldous Huxley,1989.0,12.0
006090674X,8.333333333333334,3,Life in a Medieval Castle (Harper Colophon Books),Joseph Gies,1979.0,25.0
006091307X,6.75,4,The Crying of Lot 49: A Novel (Perennial Fiction Library),Thomas Pynchon,1990.0,27.0
006091565X,7.666666666666667,3,The Dance of Anger: A Woman's Guide to Changing the Patterns of Intimate Relationships,Harriet Lerner,1997.0,23.0
006091646X,8.8,5,The Dance of Intimacy: A Woman's Guide to Courageous Acts of Change in Key Relationships,Harriet Lerner,1990.0,44.0
006092411X,7.5,2,The Living : A Novel,Annie Dillard,1993.0,15.0
006092988X,9.090909090909092,11,A Tree Grows in Brooklyn,Betty Smith,1998.0,100.00000000000001
006092991X,8.0,2,"Beauty Fades, Dumb Is Forever: The Making of a Happy Woman",Judy Sheindlin,2000.0,16.0
006093056X,8.0,1,Mara and Dann : An Adventure,Doris Lessing,2000.0,8.0
006093090X,7.875,8,The Night Listener : A Novel,Armistead Maupin,2001.0,63.0
006093140X,7.5,2,The Golden Notebook : Perennial Classics edition (Perennial Classics),Doris M. Lessing,1999.0,15.0
006093316X,8.0,1,The Great and Secret Show: The First Book of the Art,Clive Barker,1999.0,8.0
006093395X,7.5,2,As the Romans Do: An American Family's Italian Odyssey,Alan Epstein,2001.0,15.0
006095129X,7.0,1,De Amor y de Sombra,Isabel Allende,1995.0,7.0
006095793X,10.0,1,The Museum at Purgatory (Byzantium Book),Nick Bantock,2001.0,10.0
006096605X,6.0,1,"The Code of the Warrior in History, Myth, and Everyday Life",Rick Fields,1991.0,6.0
006097141X,8.0,1,That Night,Alice McDermott,1993.0,8.0
006097673X,9.0,3,Autobiography of a Face,Lucy Grealy,1995.0,27.0
006098726X,8.6,5,Stupid White Men : ...And Other Sorry Excuses for the State of the Nation!,Michael Moore,2004.0,43.0
006098824X,8.0,11,Getting Over It,Anna Maxted,2001.0,88.0
006099486X,7.95,20,"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary",Simon Winchester,1999.0,159.0
006100345X,8.0,1,The Ghostway,Tony Hillerman,1992.0,8.0
006101009X,7.0,1,Search the Shadows,Barbara Michaels,1997.0,7.0
006101253X,7.333333333333333,3,Sinners,Jackie Collins,1997.0,22.0
006101351X,7.5,40,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1998.0,300.0
006102063X,7.5,2,Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,2002.0,15.0
006103004X,7.0,4,Blind Man's Bluff: The Untold Story of American Submarine Espionage,Sherry Sontag,1999.0,28.0
006103018X,8.0,3,Coldheart Canyon,Clive Barker,2002.0,24.0
006103066X,6.5,2,The Shark Mutiny,Patrick Robinson,2002.0,13.0
006104055X,5.0,1,A Man to Die for,Eileen Dreyer,1995.0,5.0
006104444X,8.333333333333334,3,Zen Attitude,Sujata Massey,2000.0,25.0
006105660X,10.0,2,"Washington's Dirigible (Timeline Wars/John Barnes, No 2)",John Barnes,1997.0,20.0
006105691X,8.5,4,Maskerade (Discworld Novels (Paperback)),Terry Pratchett,1998.0,34.0
006106498X,8.0,1,Wishbone Classic #11 Adv of Tom Sawyer (Wishbone),Stephen Fuentes,1997.0,8.0
006109028X,5.0,1,Sharpe's Devil,Bernard Cornwell,1993.0,5.0
006109157X,8.0,5,Dead Eyes,Stuart Woods,1994.0,40.0
006109174X,8.0,2,Redemption,Leon Uris,1996.0,16.0
006109286X,8.333333333333334,3,The Pardon,James Grippando,1995.0,25.0
006109398X,6.888888888888889,9,The Treasure Box,Orson Scott Card,1997.0,62.0
006109594X,7.666666666666667,6,Nimitz Class,Patrick Robinson,1998.0,46.0
006109868X,8.555555555555555,9,Pigs in Heaven,Barbara Kingsolver,1999.0,77.0
006109918X,8.333333333333334,3,Talking God (Jim Chee Novels),Tony Hillerman,1991.0,25.0
006109921X,7.444444444444445,9,Up Island: A Novel,Anne Rivers Siddons,1998.0,67.0
006251119X,7.0,1,Stop Being Mean to Yourself: A Story About Finding the True Meaning of Self-Love,Melody Beattie,1997.0,7.0
006251184X,10.0,1,Undercurrents: A Life Beneath the Surface,Martha Manning,1995.0,10.0
006251279X,8.5,4,The Pilgrimage,Paulo Coelho,1995.0,34.0
006254506X,10.0,1,"The Summer of the Great-Grandmother (Crosswicks Journal, Book 2)",Madeleine L'Engle,1984.0,10.0
006440031X,8.0,3,The First Four Years (Little House),Laura Ingalls Wilder,1953.0,24.0
006440174X,7.0,2,"Good Night, Mr. Tom",Michelle Magorian,1986.0,14.0
006440501X,10.0,1,"The Horse and His Boy (The Chronicles of Narnia, Book 3)",C. S. Lewis,1994.0,10.0
006440630X,7.8,5,The Midwife's Apprentice (Trophy Newbery),Karen Cushman,1996.0,39.0
006447108X,8.75,8,The Last Battle,C. S. Lewis,1994.0,70.0
006447187X,9.0,1,Girl Goddess #9 : Nine Stories,Francesca Lia Block,1998.0,9.0
006447335X,7.0,4,Year of the Griffin,Diana Wynne Jones,2001.0,28.0
006621016X,5.75,4,Filthy Rich,Dorothy Samuels,2001.0,23.0
007212248X,7.0,1,Oracle8I for Windows Nt Starter Kit (Oracle Press S.),Steve Bobrowski,1999.0,7.0
009179319X,7.5,2,Neanderthal,John Darnton,1996.0,15.0
009180986X,8.0,1,Baby Its You,Annette Karmiloff-Smith,1995.0,8.0
013029442X,3.0,1,Cities and Privatization: Prospects for the New Century,Jeffrey D. Greene,2001.0,3.0
014003613X,5.0,1,Down Among the Women,Fay Weldon,0.0,5.0
014004387X,9.0,2,Fifth business,Robertson Davies,1977.0,18.0
014004891X,10.0,1,Of Mice and Men/Cannery Row (2 Books in 1),John Steinbeck,1986.0,10.0
014005264X,4.0,1,Betrayal of innocence: Incest and its devastation,Susan Forward,1979.0,4.0
014006690X,9.25,4,The Women of Brewster Place (Penguin Contemporary American Fiction Series),Gloria Naylor,1983.0,37.0
014007385X,8.0,1,Cafe Le Dog,Matt Cohen,0.0,8.0
014007600X,8.0,1,Face (Contemporary American fiction),Cecile Pineda,1986.0,8.0
014010304X,7.0,1,Bride of Dark and Stormy: Yet More of the Best (? from the Bulwer-Lytton Contest),Scott Rice,1988.0,7.0
014010870X,7.0,3,Life and Death in Shanghai,Nien Cheng,1988.0,21.0
014011906X,6.0,1,Fire on the Mountain,Anita Desai,1990.0,6.0
014012389X,9.25,4,Love in the Time of Cholera,Gabriel Garcia Marquez,1998.0,37.0
014014773X,7.0,1,The Things They Carried (Contemporary American Fiction),Tim O'Brien,1991.0,7.0
014016930X,7.3,10,Angle of Repose (Contemporary American Fiction),Wallace Stegner,1992.0,73.0
014017737X,8.625,8,The Pearl,John Steinbeck,2000.0,69.0
014017799X,8.0,1,Meditations for Cats Who Do Too Much,Michael Cader,1993.0,8.0
014018371X,5.0,1,Nostromo a Tale of the Seaboard (Penguin Great Books of the 20th Century),Joseph Conrad,1990.0,5.0
014018869X,8.375,8,Cold Comfort Farm,Stella Gibbons,1995.0,67.0
014019536X,7.333333333333333,3,"Drawing Down the Moon: Witches, Druids, Goddess-Worshippers, and Other Pagans in America Today",Margot Adler,1997.0,22.0
014023313X,7.409090909090909,22,The Stone Diaries,Carol Shields,1995.0,163.0
014023828X,8.666666666666666,6,The Tortilla Curtain,T. Coraghessan Boyle,1996.0,52.0
014025448X,7.921052631578948,38,At Home in Mitford (The Mitford Years),Jan Karon,1996.0,301.0
014025644X,8.0,2,Rice,Su Tong,1996.0,16.0
014025773X,5.0,1,James the Brother of Jesus: The Key to Unlocking the Secrets of Early Christianity and the Dead Sea Scrolls,Robert Eisenman,1998.0,5.0
014026065X,8.0,2,The Little Book of Calm,Paul Wilson,1996.0,16.0
014026261X,6.0,1,Take Care of Yourself,Penelope Sach,1997.0,6.0
014027281X,10.0,1,In the Memory of the Forest: A Novel,Charles T. Powers,1998.0,10.0
014027684X,6.666666666666667,3,Daughter of the Queen of Sheba: A Memoir,Jacki Lyden,1998.0,20.0
014027927X,6.75,4,Ralph's Party,Lisa Jewell,1999.0,27.0
014027944X,7.333333333333333,6,Armadillo,William Boyd,0.0,44.0
014028009X,7.315789473684211,38,Bridget Jones's Diary,Helen Fielding,1999.0,278.0
014028088X,5.0,2,The Salon.Com Reader's Guide to Contemporary Authors,Laura Miller,2000.0,10.0
014029628X,7.6923076923076925,26,Girl in Hyacinth Blue,Susan Vreeland,2000.0,200.0
014029645X,10.0,1,Sherlock Holmes and the Rune Stone Mystery (Sherlock Holmes Mysteries (Penguin)),Larry Millett,2000.0,10.0
014029984X,6.0,1,Generica,Will Ferguson,2001.0,6.0
014032724X,10.0,2,Hatchet,Gary Paulsen,1988.0,20.0
014032870X,7.0,2,"Charlie and the Great Glass Elevator: The Further Adventures of Charlie Bucket and Willie Wonka, Chocolate-Maker Extraordinary",Roald Dahl,1988.0,14.0
014034294X,8.5,8,Matilda,Roald Dahl,1990.0,68.0
014034893X,8.428571428571429,7,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,1991.0,59.0
014034991X,7.8,5,Westing Game,Ellen Raskin,1992.0,39.0
014035008X,4.0,1,Little Women (Puffin Classics),Louisa M. Alcott,1953.0,4.0
014036336X,8.0,1,The House With a Clock in Its Walls,John Bellairs,1993.0,8.0
014038572X,7.947368421052632,19,The Outsiders (Now in Speak!),S. E. Hinton,1997.0,151.0
014042346X,6.0,1,The Penguin Book of Renaissance Verse (Penguin Classics),David Norbrook,1993.0,6.0
014043187X,8.0,3,The Picture of Dorian Gray (Penguin Classic),Oscar Wilde,1985.0,24.0
014043223X,9.0,2,The Portrait of a Lady (Penguin Classics),Henry James,1988.0,18.0
014044470X,7.0,1,The Fiancee and Other Stories (Penguin Classics),Anton Pavlovich Chekhov,1986.0,7.0
014044503X,8.5,2,The Sorrows of Young Werther (Penguin Classics),Johann Wolfgang Von Goethe,1989.0,17.0
014044582X,10.0,1,The Last Days of Socrates: Euthyphro/Apology/Crito/Phaedo (Penguin Classics),Plato,1995.0,10.0
014044629X,9.0,2,The Decameron (Penguin Classics),Giovanni Boccaccio,1996.0,18.0
014045022X,6.5,4,Pygmalion : A Romance in Five Acts,George Bernard Shaw,1993.0,26.0
014050639X,10.0,1,Each Peach Pear Plum (Picture Puffins),Janet Ahlberg,1986.0,10.0
014056232X,10.0,1,Way Out West Lives a Coyote Named Frank (Picture Puffins),Jillian Lund,1997.0,10.0
014062080X,7.0,3,The Scarlet Letter (Penguin Popular Classics),Nathaniel Hawthorne,1994.0,21.0
014070714X,8.0,1,As You Like It (New Penguin Shakespeare S.),William Shakespeare,1981.0,8.0
014070731X,7.0,1,Antony and Cleopatra (New Penguin Shakespeare Series),William Shakespeare,1981.0,7.0
014071491X,8.0,1,Titus Andronicus (The Pelican Shakespeare),William Shakespeare,2000.0,8.0
014100018X,8.125,16,Chocolat,Joanne Harris,2000.0,130.0
014100374X,7.25,4,Pants on Fire,Maggie Alderson,2001.0,29.0
014130751X,5.0,1,Asking for Trouble,Mary K. Pershall,0.0,5.0
014131088X,8.181818181818182,11,Speak,Laurie Halse Anderson,2001.0,90.0
014143984X,9.0,1,Dracula (Penguin Classics),Bram Stoker,2003.0,9.0
014230218X,8.0,3,The Dreaming Place,Charles De Lint,2002.0,24.0
014302812X,6.333333333333333,3,The Merlion and the Hibiscus: Contemporary Short Stories from Singapore and Malaysia,Michelle A. Edwards,2002.0,19.0
015100658X,5.0,1,The Painter of Birds,Lidia Jorge,2001.0,5.0
015100692X,7.647058823529412,17,The Crimson Petal and the White,Michel Faber,2002.0,130.0
015201800X,5.5,2,"The Pearl of the Soul of the World: The Darkangel Trilogy, Volume III",Meredith Ann Pierce,1999.0,11.0
015216250X,8.2,5,So You Want to Be a Wizard: The First Book in the Young Wizards Series,Diane Duane,2001.0,41.0
015600464X,7.0,1,Ex Utero (Harvest Book),Laurie Foos,1996.0,7.0
015600514X,8.0,1,St. Burl's Obituary,Daniel Akst,1997.0,8.0
015600710X,8.363636363636363,11,Strange Fits of Passion: A Novel,Anita Shreve,1999.0,92.0
015602943X,8.916666666666666,12,The Time Traveler's Wife (Harvest Book),Audrey Niffenegger,2004.0,107.0
015626028X,8.0,1,"The Diary Of Anais Nin, Volume 4 (1944-1947)",AnaÃ¯s Nin,1980.0,8.0
015640057X,6.75,4,"Henry and June: From \A Journal of Love\"" -The Unexpurgated Diary of Anais Nin (1931-1932)""",Anais Nin,1990.0,27.0
015644450X,9.666666666666666,3,In Love &amp; Trouble: Stories of Black Women,Alice Walker,1974.0,29.0
015670160X,5.0,2,Orlando: A Biography,Virginia Woolf,1993.0,10.0
015696158X,7.666666666666667,3,When God Was a Woman (Harvest/Hbj Book),Merlin Stone,1978.0,23.0
019281513X,10.0,1,Jane Eyre (World's Classics),Charlotte Bronte,1980.0,10.0
019283097X,7.0,1,The Master Pipers (The World's Classics),George Sand,1994.0,7.0
019283374X,6.0,1,Alice's Adventures in Wonderland and Through the Looking-Glass: And What Alice Found There (Oxford World's Classics),Lewis Carroll,1998.0,6.0
019505928X,7.666666666666667,3,A Sand County Almanac and Sketches Here and There (Outdoor Essays &amp; Reflections),Aldo Leopold,1989.0,23.0
020162690X,8.0,1,Touchpoints: Your Child's Emotional and Behavioral Development: Birth-3: The Essential Reference for the Early Years,T. Berry Brazelton,1992.0,8.0
020530902X,8.75,4,"The Elements of Style, Fourth Edition",William Strunk Jr.,2000.0,35.0
026382831X,8.0,2,"This Time, Marriage",Susan Wiggs,2001.0,16.0
027362198X,8.0,1,Key Management Solutions: 50 Leading Edge Solutions to Executive Challenges (Financial Times Management Masterclass Series),Tom Lambert,1996.0,8.0
027522600X,8.0,1,Living with cancer,Ernest H Rosenbaum,1975.0,8.0
030681188X,7.5,2,How to Lose Friends &amp; Alienate People,Toby Young,2002.0,15.0
030701035X,6.0,1,Cinderella,Little Golden Books Staff,1992.0,6.0
030711936X,9.0,1,Just Grandpa and Me (Look-Look),MERCER MAYER,2001.0,9.0
030717025X,6.0,1,The Golden Book of Fairy Tales (Golden Classics),Marie Ponsot,1999.0,6.0
031021758X,7.0,1,Shadow of Doubt,Terri Blackstock,1998.0,7.0
031023008X,7.0,1,Fresh Power,Jim Cymbala,2001.0,7.0
031205436X,6.571428571428571,7,Generation X: Tales for an Accelerated Culture,Douglas Coupland,1992.0,46.0
031205811X,9.0,1,Adams V. Texas,Randall Dale Adams,1991.0,9.0
031209261X,9.0,2,Conduct Unbecoming,Randy Shilts,1993.0,18.0
031211933X,5.0,1,Zombification: Stories from National Public Radio,Andrei Codrescu,1995.0,5.0
031213150X,8.0,1,The Quake,Richard Laymon,1995.0,8.0
031215125X,7.8,5,The Far Pavilions,M. M. Kaye,1997.0,39.0
031219126X,8.5,2,"Frankenstein: Complete, Authoritative Text With Biographical, Historical, and Cultural Contexts, Critical History, and Essays from Contemporary Critic ... tive (Case Studies in Contemporary Criticism)",Mary Wollstonecraft Shelley,2000.0,17.0
031219904X,8.0,1,Jack London: A Life,Alex Kershaw,1999.0,8.0
031220387X,9.0,2,The Third Heiress,Brenda Joyce,1999.0,18.0
031224116X,8.0,2,Murder on the Mauretania (George Porter Dillman and Genevieve Masefield Mysteries),Conrad Allen,2000.0,16.0
031225234X,8.0,1,Name Dropping,Jane Heller,2000.0,8.0
031227193X,5.0,1,Saving Agnes,Rachel Cusk,2001.0,5.0
031227999X,8.0,2,Emotionally Weird: A Novel,Kate Atkinson,2001.0,16.0
031228361X,8.0,1,Liberty: A Jake Grafton Novel,Stephen Coonts,2003.0,8.0
031230093X,3.0,1,Savage Girls and Wild Boys: A History of Feral Children,Michael Newton,2003.0,3.0
031231616X,8.125,8,I Capture the Castle,Dodie Smith,2003.0,65.0
031242227X,6.928571428571429,28,Running with Scissors: A Memoir,Augusten Burroughs,2003.0,194.0
031242258X,8.0,3,"Dress Codes: Of Three Girlhoods--My Mother's, My Father's, and Mine",Noelle Howey,2002.0,24.0
031286258X,8.0,1,"The Books of Great Alta : Comprising 'Sister Light, Sister Dark' and 'White Jenna' (Books of Great Alta)",Jane Yolen,1997.0,8.0
031286504X,9.166666666666666,6,I Am Legend,Richard Matheson,1997.0,55.0
031298250X,7.571428571428571,7,America : A Jake Grafton Novel (A Jake Grafton Novel),Stephen Coonts,2002.0,53.0
031298328X,7.625,16,Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,2003.0,122.0
033028813X,8.0,1,Terminal,Colin Forbes,1996.0,8.0
033035566X,8.666666666666666,3,"Strange Places, Questionable People: Updated with a New Chapter on Kosovo",John Simpson,1999.0,26.0
033036197X,6.666666666666667,3,People of Heaven,Beverley Harper,0.0,20.0
033042095X,8.0,1,Rat Race / To the Hilt,Dick Francis,2003.0,8.0
033390785X,9.0,1,Ice Station - Cassette Audio,Matthew Reilly,2003.0,9.0
034060977X,5.0,1,Dancing in the Moonlight,Ronnie Barker,1994.0,5.0
034066049X,7.0,1,Well Groomed,Fiona Walker,1997.0,7.0
034068948X,6.833333333333333,6,Does My Bum Look Big in This?,Arabella Weir,1999.0,41.0
034073342X,9.0,1,Rock N Roll Suicide,P.P. Hartnett,2002.0,9.0
034082607X,8.0,1,The Rice Mother,Rani Manicka,2003.0,8.0
034525385X,8.0,1,Sybil Leek's Book of the curious and the occult,Sybil Leek,1976.0,8.0
034528223X,6.0,1,Wizard of Oz,L. Frank Baum,1979.0,6.0
034528349X,7.0,2,Dragon's Egg,Robert L. Forward,1981.0,14.0
034528643X,8.0,2,Alchemy and Academe,Anne McCaffrey,1979.0,16.0
034528710X,10.0,1,Han Solo and the Lost Legacy,Brian Daley,1980.0,10.0
034529873X,7.875,8,Moreta: Dragonlady of Pern,Anne McCaffrey,1991.0,63.0
034530456X,7.666666666666667,3,Night Mare #06,Piers Anthony,1983.0,23.0
034530893X,3.0,1,Demons of the Dancing Gods,Jack L. Chalker,1984.0,3.0
034530912X,8.0,1,Garfield Eats His Heart Out,Jim Davis,1983.0,8.0
034530988X,8.8,5,Friday,Robert Heinlein,1988.0,44.0
034531042X,5.0,1,Wounded Land (Second Chronicles of Thomas Covenant),Stephen R. Donaldson,1981.0,5.0
034531221X,7.0,3,Lincoln,Gore Vidal,1985.0,21.0
034531784X,3.0,1,"Adolf, Hitler",John Toland,1984.0,3.0
034531798X,6.0,1,Foundation (Foundation Novels (Paperback)),Isaac Asimov,1984.0,6.0
034532532X,7.2,5,The Lasko Tangent,Richard North Patterson,1994.0,36.0
034536208X,5.0,1,Fair and Tender Ladies,Lee Smith,1989.0,5.0
034536225X,9.0,1,I'll Take It,Paul Rudnick,1995.0,9.0
034536628X,7.5,2,Magic Casement (Man of His Word),Dave Duncan,1990.0,15.0
034536662X,10.0,1,Jacob the Baker: Gentle Wisdom For a Complicated World,Noah benShea,1990.0,10.0
034536676X,8.55,20,The World According to Garp,John Irving,1994.0,171.0
034536998X,5.0,1,The Players Come Again (Kate Fansler Novels (Paperback)),AMANDA CROSS,1991.0,5.0
034537472X,8.0,4,Sapphire Rose (Elenium (Paperback)),DAVID EDDINGS,1992.0,32.0
034537522X,10.0,2,The Book of Lost Tales 2 (The History of Middle-Earth - Volume 2),J.R.R. TOLKIEN,1992.0,20.0
034537536X,7.0,3,Show of Evil,William Diehl,1996.0,21.0
034537682X,7.666666666666667,3,Everything You Have Is Mine (Lauren Laurano Mysteries),Sandra Scoppettone,1993.0,23.0
034538170X,10.0,1,Garfield Takes His Licks (Garfield (Numbered Paperback)),Jim Davis,1993.0,10.0
034538184X,7.5,6,Degree of Guilt,Richard North Patterson,1995.0,45.0
034538430X,7.8,10,TickTock,Dean R. Koontz,1997.0,78.0
034538475X,6.904761904761905,21,The Tale of the Body Thief (Vampire Chronicles (Paperback)),Anne Rice,1993.0,145.0
034539044X,8.666666666666666,3,Rose,Martin Cruz Smith,1997.0,26.0
034539092X,8.2,5,The Great Train Robbery,Michael Crichton,1995.0,41.0
034539643X,8.0,1,Alpine Icon (Emma Lord Mysteries),Mary Daheim,1997.0,8.0
034539657X,8.0,8,Dark Rivers of the Heart,Dean R. Koontz,1995.0,64.0
034540047X,8.25,4,The Hotel New Hampshire,John Irving,1995.0,33.0
034540288X,7.147058823529412,34,The Lost World,Michael Crichton,1996.0,243.0
034540498X,6.0,1,Final Judgment,Richard N. Patterson,1996.0,6.0
034540727X,7.0,2,The Killer Angels,MICHAEL SHAARA,1996.0,14.0
034540761X,7.571428571428571,14,The Final Judgment,Richard North Patterson,1997.0,106.0
034541005X,9.0,4,The Power of One,Bryce Courtenay,1992.0,36.0
034541036X,10.0,1,A Gift of Hope: How We Survive Our Tragedies,Robert L. Veninga,1996.0,10.0
034541215X,8.75,4,Bimbos of the Death Sun,SHARYN MCCRUMB,1996.0,35.0
034541389X,7.619047619047619,21,Flesh and Blood,Jonathan Kellerman,2002.0,160.0
034542610X,5.0,1,The Carbohydrate Addict's Healthy Heart Program: Break Your Carbo-Insulin Connection to Heart Disease,Rachael F. Heller,1999.0,5.0
034542705X,8.6,5,The Man Who Listens to Horses,Monty Roberts,1998.0,43.0
034543014X,9.0,3,The Princess Bride: S. Morgenstern's Classic Tale of True Love and High Adventure (The 'Good Parts' Version),William Goldman,1998.0,27.0
034543059X,5.0,1,Fatal Charms and Other Tales of Today/The Mansions of Limbo (Omnibus),DOMINICK DUNNE,1999.0,5.0
034543076X,7.0,5,Manifold: Time (Manifold (Paperback)),Stephen Baxter,2000.0,35.0
034543191X,6.0,1,The King of Elfland's Daughter (Del Rey Impact),Edward John Moreton Drax Plunkett Dunsany,1999.0,6.0
034543479X,7.333333333333333,12,A Widow for One Year,JOHN IRVING,2001.0,88.0
034543630X,8.0,1,Simon's Family,Marianne Fredriksson,2000.0,8.0
034543739X,7.333333333333333,6,Until the Real Thing Comes Along (Ballantine Reader's Circle),ELIZABETH BERG,2000.0,44.0
034543885X,9.0,1,Redemption Song,Bertice Berry,2001.0,9.0
034544227X,6.5,4,Just Friends,Robyn Sisman,2002.0,26.0
034544356X,8.125,8,"Seduced By Moonlight (Hamilton, Laurell K)",LAURELL K. HAMILTON,2004.0,65.0
034545071X,7.0,2,Distant Shores,KRISTIN HANNAH,2002.0,14.0
034545104X,7.333333333333333,6,Flesh Tones: A Novel,M. J. Rose,2002.0,44.0
034545331X,9.0,2,Lover's Lane,JILL MARIE LANDIS,2004.0,18.0
034545829X,9.0,1,Waking Up Screaming: Haunting Tales of Terror,H. P. Lovecraft,2003.0,9.0
034546074X,7.5,2,The Clinic,Jonathan Kellerman,2003.0,15.0
034547063X,6.0,1,Black House,STEPHEN KING,2003.0,6.0
034910171X,6.75,4,Canal Dreams,Iain Banks,0.0,27.0
034910901X,8.0,1,Room for a Single Lady,Clare Boylan,0.0,8.0
034911319X,7.0,1,Park and Ride: Adventures in Suburbia,Miranda Sawyer,2003.0,7.0
037307638X,8.5,2,"Out Of The Dark (Silhouette Intimate Moments, No 638)",Justine Davis,1995.0,17.0
037310507X,10.0,1,South of Capricorn (Harlequin Presents),Anne Hampson,1982.0,10.0
037310524X,5.0,1,Bitter Revenge (Harlequin Presents),Lilian Peake,1982.0,5.0
037310667X,10.0,1,Forgotten Passion (Harlequin Presents),Penny Jordan,1984.0,10.0
037316596X,10.0,1,"Counterfeit Husband (Harlequin American Romance, No 596)",Linda Randall Wisdom,1995.0,10.0
